a52dec 0.7.4-9
acl 2.2.52-4
acpi 1.7-2
adwaita-icon-theme 3.26.1-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
archlinux-keyring 20180108-1
argon2 20171227-3
aspell 0.60.6.1-5
aspell-en 2017.08.24-1
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-4
bash 4.4.019-1
bbswitch 0.8-113
bc 1.07.1-1
bind-tools 9.12.0-1
binutils 2.29.1-2
bison 3.0.4-3
blas 3.8.0-1
bluez 5.48-2
bluez-libs 5.48-2
bluez-utils 5.48-2
bumblebee 3.2.1-16
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.35-1
ca-certificates-utils 20170307-1
cairo 1.15.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.100-1
cblas 3.8.0-1
cdparanoia 10.2-5
colord 1.4.1+6+gf08c25d-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.29-1
cracklib 2.9.6-1
cryptsetup 2.0.1-1
ctags 5.8-5
cups 2.2.6-4
cups-filters 1.20.0-1
curl 7.58.0-1
db 5.3.28-3
dbus 1.12.4-1
dbus-glib 0.110-1
dcadec 0.2.0-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-1
dhcpcd 7.0.1-1
diffutils 3.6-1
discount 2.2.2-5
dmenu 4.7-2
dnssec-anchors 20170711-1
dotnet-host 2.0.5-1
dotnet-runtime 2.0.5-1
dotnet-sdk 2.1.4-1
double-conversion 3.0.0-1
e2fsprogs 1.43.9-1
efibootmgr 15-1
efivar 32-1
ethtool 1:4.15-1
evtest 1.33-3
expac 8-1
expat 2.2.5-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.23.2-1
ffmpeg 1:3.4.2-1
ffmpeg2.8 2.8.13-5
fftw 3.3.7-1
file 5.32-1
filesystem 2017.10-2
findutils 4.6.0-2
firefox 58.0.2-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.6+5+g665584a-1
fontforge 20170731-1
fping 4.0-1
freeglut 3.0.0-2
freetype2 2.9-2
fribidi 1.0.1+8+gdf7252b-1
fuse-common 3.2.1-1
fuse2 2.9.7-4
gawk 4.2.0-3
gc 7.6.4-1
gcc 7.3.0-1
gcc-libs 7.3.0-1
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.11-1
geoip 1.6.11-1
geoip-database 20180206-1
gettext 0.19.8.1-2
ghostscript 9.22-7
giblib 1.2.4-6
giflib 5.1.4-1
git 2.16.2-1
glew 2.1.0-1
glib-networking 2.54.1-1
glib2 2.54.3+2+g94b38beff-1
glibc 2.26-11
glibmm 2.54.1-1
glu 9.0.0-4
gmp 6.1.2-1
gnupg 2.2.4-2
gnuplot 5.2.2-1
gnutls 3.5.18-1
go 2:1.10-2
go-tools 2:1.10+2306+25101aad-1
gpgme 1.10.0-1
gpm 1.20.7-8
graphite 1:1.3.10-1
graphviz 2.40.1-10
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-4
